Date,Prices

7/1/2016,5500.0

7/1/2016,45250.0

7/1/2016,1230.0

7/1/2016,3600.0

7/1/2016,1335.0

7/1/2016,1690.0

7/1/2016,1335.0

7/1/2016,3000.0

7/1/2016,1315.0

7/2/2016,33685.0

7/2/2016,55850.0

7/2/2016,3150.0

7/2/2016,30205.0

7/2/2016,6240.0

7/2/2016,1050.0

7/3/2016,29000.0

7/4/2016,12600.0

7/4/2016,3900.0

7/4/2016,810.0

7/5/2016,3600.0

7/6/2016,3900.0

7/6/2016,151.0

7/6/2016,699.0

7/6/2016,327.0

7/7/2016,242.0

7/7/2016,327.0

7/7/2016,1050.0

7/8/2016,29000.0

7/8/2016,3861.0

7/9/2016,63830.0

7/9/2016,200.0

7/9/2016,3600.0

7/9/2016,4490.0

7/9/2016,5505.0

7/9/2016,5375.0

7/9/2016,6055.0

7/10/2016,3900.0

7/11/2016,1870.0

7/11/2016,699.0

7/11/2016,2325.0

7/11/2016,2285.0

7/11/2016,151.0

7/11/2016,6055.0

7/11/2016,22800.0

7/11/2016,1050.0

7/11/2016,3000.0

7/11/2016,3500.0

7/11/2016,3500.0

7/11/2016,2130.0

7/12/2016,1315.0

7/12/2016,850.0

7/12/2016,1315.0

7/12/2016,54080.0

7/12/2016,3750.0

7/12/2016,2000.0

7/12/2016,1253.0

7/12/2016,327.0

7/12/2016,1941.0

7/12/2016,1375.0

7/13/2016,29000.0

7/13/2016,1230.0

7/13/2016,1315.0

7/13/2016,1315.0

7/13/2016,105999.0

7/13/2016,1230.0

7/13/2016,30205.0

7/13/2016,2850.0

7/13/2016,1676.0

7/13/2016,1941.0

7/13/2016,4950.0

7/13/2016,3900.0

7/13/2016,5800.0

7/13/2016,29000.0

7/13/2016,5505.0

7/13/2016,3150.0

7/14/2016,3160.0

7/14/2016,3369.0

7/14/2016,1230.0

7/14/2016,1230.0

7/14/2016,2000.0

7/14/2016,1230.0

7/14/2016,5750.0

7/14/2016,1230.0

7/14/2016,36900.0

7/14/2016,9950.0

7/14/2016,1500.0

7/15/2016,1220.0

7/15/2016,29000.0

7/15/2016,1230.0

7/15/2016,151.0

7/15/2016,29000.0

7/15/2016,1941.0

7/16/2016,1100.0

7/16/2016,1690.0

7/16/2016,3765.0

7/16/2016,3369.0

7/17/2016,44680.0

7/17/2016,1315.0

7/17/2016,1350.0

7/17/2016,1690.0

7/17/2016,3900.0

7/17/2016,2510.0

7/18/2016,34575.0

7/18/2016,29000.0

7/18/2016,1230.0

7/18/2016,4450.0

7/18/2016,1253.0

7/18/2016,6055.0

7/18/2016,29000.0

7/18/2016,500.0

7/18/2016,2260.0

7/19/2016,339.0

7/19/2016,499.0

7/19/2016,1999.0

7/19/2016,810.0

7/19/2016,1375.0

7/19/2016,1230.0

7/19/2016,59600.0

7/19/2016,670.0

7/20/2016,6055.0

7/20/2016,3600.0

7/20/2016,6055.0

7/20/2016,500.0

7/20/2016,1230.0

7/20/2016,1230.0

7/20/2016,3600.0

7/21/2016,29000.0

7/21/2016,2285.0

7/21/2016,1230.0

7/21/2016,1230.0

7/21/2016,1230.0

7/21/2016,2299.0

7/22/2016,1230.0

7/22/2016,1230.0

7/22/2016,1230.0

7/22/2016,44680.0

7/22/2016,1230.0

7/22/2016,2000.0

7/22/2016,1230.0

7/23/2016,1230.0

7/23/2016,50788.0

7/23/2016,29000.0

7/23/2016,3800.0

7/23/2016,1035.0

7/23/2016,3861.0

7/23/2016,3000.0

7/23/2016,11000.0

7/23/2016,6230.0

7/23/2016,3160.0

7/23/2016,2325.0

7/23/2016,29000.0

7/24/2016,3900.0

7/25/2016,32391.0

7/25/2016,1230.0

7/25/2016,3060.0

7/25/2016,3000.0

7/25/2016,1230.0

7/25/2016,38420.0

