Date,Prices

7/1/2016,20999.0

7/1/2016,4500.0

7/1/2016,4200.0

7/1/2016,25999.0

7/1/2016,1050.0

7/1/2016,6500.0

7/1/2016,6500.0

7/1/2016,1765.0

7/2/2016,25999.0

7/2/2016,800.0

7/3/2016,1765.0

7/3/2016,4200.0

7/3/2016,2620.0

7/4/2016,1090.0

7/4/2016,12500.0

7/4/2016,1890.0

7/4/2016,1050.0

7/4/2016,4530.0

7/4/2016,6900.0

7/4/2016,6900.0

7/5/2016,700.0

7/5/2016,19370.0

7/5/2016,3499.0

7/5/2016,7350.0

7/7/2016,6500.0

7/7/2016,6500.0

7/7/2016,890.0

7/8/2016,4530.0

7/8/2016,220.0

7/8/2016,790.0

7/8/2016,4490.0

7/9/2016,1765.0

7/9/2016,16460.0

7/9/2016,4380.0

7/9/2016,6500.0

7/9/2016,1490.0

7/9/2016,4530.0

7/9/2016,1765.0

7/9/2016,1765.0

7/9/2016,1765.0

7/9/2016,750.0

7/9/2016,3499.0

7/9/2016,1765.0

7/10/2016,800.0

7/10/2016,71999.0

7/10/2016,12530.0

7/10/2016,6900.0

7/10/2016,1525.0

7/10/2016,4380.0

7/11/2016,16500.0

7/11/2016,6390.0

7/11/2016,1490.0

7/11/2016,4380.0

7/11/2016,19370.0

7/11/2016,4530.0

7/11/2016,12530.0

7/11/2016,4380.0

7/11/2016,1800.0

7/11/2016,6900.0

7/12/2016,19370.0

7/12/2016,1765.0

7/12/2016,4380.0

7/12/2016,6950.0

7/12/2016,4530.0

7/13/2016,15200.0

7/13/2016,8999.0

7/13/2016,20900.0

7/13/2016,20900.0

7/13/2016,1490.0

7/13/2016,1299.0

7/13/2016,510.0

7/13/2016,1050.0

7/13/2016,1750.0

7/13/2016,2490.0

7/14/2016,15200.0

7/14/2016,4200.0

7/14/2016,30000.0

7/14/2016,15200.0

7/14/2016,3950.0

7/14/2016,1050.0

7/14/2016,450.0

7/14/2016,6500.0

7/14/2016,1765.0

7/14/2016,1125.0

7/15/2016,2750.0

7/15/2016,2620.0

7/15/2016,300.0

7/15/2016,300.0

7/15/2016,6500.0

7/15/2016,1765.0

7/15/2016,10740.0

7/15/2016,15200.0

7/15/2016,700.0

7/15/2016,4380.0

7/15/2016,1765.0

7/15/2016,300.0

7/15/2016,4200.0

7/15/2016,15200.0

7/15/2016,12530.0

7/15/2016,20890.0

7/15/2016,19600.0

7/16/2016,1499.0

7/16/2016,1765.0

7/16/2016,400.0

7/16/2016,775.0

7/16/2016,1765.0

7/16/2016,4200.0

7/16/2016,700.0

7/16/2016,1050.0

7/16/2016,1490.0

7/16/2016,450.0

7/17/2016,1765.0

7/17/2016,799.0

7/17/2016,300.0

7/17/2016,1765.0

7/17/2016,850.0

7/17/2016,6990.0

7/17/2016,20890.0

7/17/2016,15200.0

7/18/2016,1765.0

7/18/2016,15200.0

7/18/2016,15200.0

7/18/2016,15200.0

7/18/2016,10999.0

7/18/2016,700.0

7/18/2016,19499.0

7/18/2016,20890.0

7/18/2016,800.0

7/18/2016,4850.0

7/18/2016,20890.0

7/19/2016,450.0

7/19/2016,450.0

7/19/2016,700.0

7/19/2016,20890.0

7/19/2016,765.0

7/20/2016,600.0

